time_sec,delta_raw,delta_smooth,theta_raw,theta_smooth,alpha_raw,alpha_smooth,low_beta_raw,low_beta_smooth,high_beta_raw,high_beta_smooth,gamma_raw,gamma_smooth
1.0,256.95349791289425,411.55960140576786,307.2029039771922,315.349160193212,351.82807150580237,342.16475805607246,394.72950451863716,393.7713789248512,919.7725540829075,907.3150728874588,1097.278459934631,1085.6697889526483
2.0,722.5895669084788,349.2847422763504,786.2245576628097,266.791580629756,845.195321219114,290.2645922214878,997.5768792724699,332.4449527062857,2290.8356158598676,765.3163147973722,2727.2287571482298,914.5418562050179
3.0,554.3458811473084,292.59928444804166,27.98594279171279,222.49292165549463,16.76060195555773,242.94610236831204,9.402593325938915,276.4890134863603,9.901276226004196,635.7887555561991,4.025593749501559,758.50117568132
4.0,58.36820082598578,241.293596703407,4.4603406684379765,182.29400592311603,5.2734518043352825,200.03658570806164,2.890204169227129,225.70224432304113,3.388768102161487,518.2640937222681,2.1080524990070253,616.980274785946
5.0,19.004315546372148,195.15804782501164,3.8096049765251814,146.03565608530866,4.982381246206308,161.36333945225294,0.8828247999821321,179.88332827429417,3.461753339124973,412.2740278539075,1.6766307257437307,489.4116809232869
6.0,5.727648910699463,153.983006595421,13.00678818388631,113.55869479476084,9.283106618617687,126.75366081240244,1.787486227373157,138.83094839808547,2.118595354145171,317.350256509446,1.2049935854355063,375.22792149773386
7.0,14.770098564352693,117.55884179720044,3.5269881852022964,84.7039447041609,21.824348405802297,96.03484700002647,3.996376921994413,102.3437877523811,2.213646971524584,233.0244782472123,0.8524969466908847,273.8615239136782
8.0,14.046106152195541,85.67592221291528,1.8249284037048796,59.31222846619721,7.413879468183106,69.03419522664154,1.4044243491920545,70.22052939514703,2.266053184497721,158.82839162553478,1.5083077217254988,184.74501557551093
9.0,4.04762721610309,58.124616625130955,2.52202978112038,37.224368733558094,11.308562128723645,45.57900270376405,1.6231245892889743,42.259856384349405,1.756648618848141,94.29369520274201,1.45937961928963,107.31092388762318
10.0,8.59984290974891,34.695293816412686,4.6596459094431015,18.28118815893191,11.996684002049061,25.496566642910295,2.8353423985754027,18.260451777954245,3.8505488283229767,38.9520875371627,1.5317763755604163,40.991776254406204
11.0,17.44368563961775,15.178322569325871,5.673438927758349,2.3235093950069654,24.034014986451645,8.61418425559674,1.8204217092241661,-1.9790013660723957,2.471418459790816,-7.664732812874718,1.3465515452418242,-14.779899919748914
