time_sec,delta_raw,delta_smooth,theta_raw,theta_smooth,alpha_raw,alpha_smooth,low_beta_raw,low_beta_smooth,high_beta_raw,high_beta_smooth,gamma_raw,gamma_smooth
1.0,479.64888459671374,569.7169528100908,49.89632348041283,31.559570399452156,10.922278901441702,8.157736571210386,3.792114583038234,3.0371277361579074,2.596175238526257,2.7062937947895827,2.53637864671342,1.9339395686851206
2.0,454.7312238736116,515.6514140360654,26.57905067000792,29.216552988268106,2.9407036990614763,7.703190464236284,2.7960547547279013,2.8384816665814054,3.3364540231992112,2.6962742003031988,2.0599408328337923,1.933260117881832
3.0,520.6819232628409,465.93563406860943,27.818576159789142,27.04449881782518,10.965364747462974,7.282950120661811,2.8725308435032013,2.655738693895968,3.204342522998042,2.6853547252289074,1.9526263943829298,1.9333059937933694
4.0,505.8941525771137,420.40711582644695,14.84382399029539,25.03731159335219,6.577103847338206,6.895778304772162,2.7346199204837713,2.4883043487106153,2.114336921271167,2.673619962732632,1.6067475357652352,1.9340071320768752
5.0,644.8777505190137,378.9033622283019,28.4924484570291,23.18889502007794,8.98908106238745,6.540437780852535,1.5417275032043438,2.335584161634369,1.9345260170096474,2.6611545059802957,2.43608844016034,1.9352934683894918
6.0,476.8757571704975,341.26187619289817,27.302320252611796,21.49315280323124,5.497967012777604,6.2156913131881275,2.346455717880434,2.1969836632762485,2.6079744530598443,2.6480429481378223,1.770248741143337,1.9370949383883609
7.0,306.3598927683448,307.32016063895975,13.993581693081717,19.9439886480409,6.8199754692810926,5.9203016660641365,2.3860231455963863,2.0719083842452743,2.4969455934262665,2.634369882371135,0.9241033826955272,1.939341477730625
8.0,151.78454397348224,276.9157184852106,9.64861836729135,18.535306259735727,1.719558768785281,5.6530316037657595,1.217363181673753,1.9597638551504686,3.286557712641668,2.6202199018461565,1.4934500455675566,1.9419630220734265
9.0,87.4888219987669,249.88605265037472,7.1962409796107645,17.26100934354453,6.458708781305538,5.412643890578191,1.731661995846801,1.8599556066008507,1.3750406281062564,2.605677599728811,1.1970385633876695,1.9448895070739072
10.0,149.49031354933192,226.06866605317595,20.63739737986303,16.11500160469612,6.615502547165717,5.19790129078663,1.8631575194988639,1.771889169205442,2.836516034614556,2.5908275691850218,2.3823115505380894,1.9480508683892095
11.0,127.70694669996402,205.30106161233834,10.951057494457569,15.0911867484193,2.997956235246172,5.007566568676273,1.4488372302732393,1.6949700735732622,2.700790788684926,2.5757544033807123,2.0551491374273505,1.9513770416764757
12.0,116.65094376599605,187.4207422465858,5.124474463131109,14.183468479942881,2.599023644498746,4.840402488532318,0.6970916010627047,1.6286038503133329,2.6120697707307268,2.5605426954818054,1.65481018765819,1.9547979625928478
13.0,96.13203547300361,172.26521087464232,8.269979952568196,13.385750504495675,3.037446079166688,4.69517181463996,1.40984975769471,1.5721960300346742,3.262175723781207,2.5452770386542243,1.885554468559996,1.9582435667954683
14.0,158.35625124546144,159.67197041523184,10.480447382213647,12.691936527306488,1.3110108720689517,4.570637311284398,0.8771829952793061,1.525152143346307,2.337808116302382,2.530042026063893,2.0356680655420885,1.961643789941479
