time_sec,delta_raw,delta_smooth,theta_raw,theta_smooth,alpha_raw,alpha_smooth,low_beta_raw,low_beta_smooth,high_beta_raw,high_beta_smooth,gamma_raw,gamma_smooth
1.0,71.07939672140868,87.12900587372245,9.762772510803641,12.789108661625784,8.45782374709719,10.090156339614046,3.3888675793963676,4.796548100013513,4.446897580244018,6.031590973025724,5.641996921245342,5.146359749022934
2.0,88.94098282941566,77.8610757584284,15.854851423193708,12.158813982219955,20.283743161524168,10.490797986102807,4.382722209152851,4.507486766060065,5.299696820877074,6.070436315960055,5.860572018537626,4.8841557243256295
3.0,36.132329033295825,70.14982602136567,12.187974735347243,11.612521830531211,9.359323209014562,10.877319994600041,4.490131817473136,4.248762518743425,8.425118244702666,6.109757806519394,4.997277619576998,4.646881149589279
4.0,27.952965730577645,63.91669650749849,6.220406154910798,11.146285165927186,7.799360279411053,11.24968173135651,6.180269525138081,4.019060705025322,7.22890780659804,6.149339967072607,3.507816707590189,4.433491518484182
5.0,13.67397975290491,59.08312706179109,8.699878581365684,10.75615694777551,10.64548381386831,11.607842562622977,3.422197440415487,3.8170666718674893,5.10379808151143,6.1889673199885635,2.484262630580686,4.2429423246806355
6.0,34.44969756136287,55.5705575292077,10.276868502348021,10.438190135443822,11.144895833550166,11.951761854650204,3.036696372014294,3.641465766231657,6.865942225950892,6.228424387636132,2.963181774474109,4.074189061848941
7.0,19.28514535837531,53.30042775471254,13.582999483811898,10.188437688299754,11.673321783154424,12.281398973688955,2.8391051444402686,3.4909433350795567,9.547295142994177,6.26749569238418,2.250955233787006,3.9261872236593938
8.0,69.98799728079126,52.19417758326985,9.923290653332,10.002952565710936,4.9664054742865185,12.596713285989992,3.393877206795488,3.3641847253729207,6.497318011584577,6.305965756601576,3.268167899487686,3.7978923037822954
9.0,269.6724168479591,52.173246859843864,14.403909498929313,9.877787727045009,8.457890185217106,12.897664157804076,3.88535474839851,3.2598752840734795,3.9350846211906254,6.343619102657187,5.686921121781759,3.6882597958879426
10.0,79.50296459785477,53.1590754293988,7.801029672895943,9.808996131669602,5.508754192933842,13.184210955381975,3.4931250305345323,3.1767003581429654,5.7750182682001245,6.380240252919883,2.714772789401773,3.5962451936466353
11.0,120.72721219575644,55.07310313689891,16.272101278328467,9.792630738952349,8.598426230290105,13.456313044974447,3.015018786282172,3.1133452945431097,8.765351680150111,6.4156137297585305,4.317242370537028,3.520803990728672
12.0,75.17443980400857,57.83676982730839,9.261115541258896,9.824744508260885,22.540824288763112,13.713929792832255,5.843633258092344,3.0684954402356435,8.022641117738027,6.449524055541999,5.236536787843422,3.460891680804351
13.0,17.6095838886673,61.3715153455915,8.907256518347541,9.901390398962846,15.218422166927892,13.957020565206165,4.230970271025532,3.040836142182299,4.517019391622435,6.481755752639156,3.973518850459407,3.415463757543971
14.0,54.024253577463256,65.59877953671246,11.508600830012037,10.018621370425862,18.265390822253973,14.185544728346937,3.285567387244879,3.0290527473448066,5.100515363112997,6.5120933434188695,4.8937646199558955,3.3834757146178314
15.0,87.2739199557631,70.4400022456355,14.64885959725093,10.172490382017571,15.018701055813604,14.399461648505335,2.0519307902441266,3.0318306026848987,5.845106237509929,6.540321350250007,5.236327923665266,3.36388304569623
16.0,113.5621113268787,75.81662331732484,6.879181759029482,10.359050393105605,22.419837058046337,14.598730691932122,1.6112679266658343,3.047855055164306,7.846992335505149,6.566224295501439,3.680039391198517,3.355641244449466
17.0,65.67882301680093,81.65008259674475,7.283837864162949,10.574354363057594,16.053322969609454,14.78331122487806,2.1803353438276334,3.0758114517447614,4.317417624496336,6.589586701542032,2.7955132536486387,3.3577058045478383
18.0,91.30463957053406,87.86181992885942,10.27072946769964,10.814455251241178,24.648206439562323,14.953162613593914,2.133419855956624,3.114385139387995,6.136834640611325,6.610193090740654,3.3022616428800387,3.369032219661645
19.0,29.549736402833332,94.37327515863305,6.960223404640654,11.07540601702399,20.840215088591357,15.108244224330443,2.0582839192882947,3.1622614650557384,2.7663663644280914,6.6278279854661735,2.984565419344901,3.388575983461185
20.0,19.29437749660005,101.10588813102993,6.628674239828905,11.35325961977366,14.733080884160863,15.24851542333841,2.972030804842097,3.218125775709723,3.9035221693236055,6.642275908087458,2.5446638721292194,3.415292589616757
21.0,325.5451658393116,107.98109869101432,26.462457358642684,11.644069018857824,15.009201710883426,15.373935576868584,2.03955437289771,3.280663418311681,5.12545290868195,6.653321380973377,3.507892283271343,3.4481375317986602
22.0,67.59188730337763,114.92034668355038,8.491074758858504,11.943887173644118,21.179594989889196,15.484464051171722,2.8365017886086337,3.348559739823343,4.512035280745886,6.660748926492799,5.054674249434083,3.486066303677193
23.0,78.37411046425873,121.84507195360234,7.586297474326565,12.248767043500171,26.950913868441233,15.580060212498587,3.439295697759028,3.4205000872064426,12.166353397799831,6.66434306701459,3.2459112575970615,3.5280343989226535
24.0,49.837958100892635,128.67671434613447,10.202685314245375,12.554761587793623,14.985265130139641,15.660683427099944,6.596241487797048,3.495169807422708,5.323733002306787,6.663888324907619,2.896563276447762,3.572997311205342
25.0,15.238538061790006,135.33671370611097,10.700752708410853,12.857923765892103,17.390083995884538,15.726293061226555,2.9553972383745215,3.571254247433873,5.2601583913968195,6.659169222540755,2.6579757428750943,3.619910534195554
26.0,25.098154391794253,141.7465098784934,9.607716513669619,13.154306537162979,8.78580642105365,15.776848481128882,1.6639886849274363,3.6474387542015974,4.8628816261731345,6.649970282282738,1.5990756828809893,3.667729561563525
27.0,26.689862463639386,145.63749359049183,11.754165554210736,13.385126051807084,9.347183824772703,15.77792736825933,3.2403770996647445,3.676800070372752,16.07225690492444,6.558406991894499,2.7506990884544593,3.7373123634902314
28.0,11.444073186410987,138.59227155059537,8.220076071446531,13.41094254814197,7.575756385132741,15.87836976587556,5.238880010246591,3.6953493136788924,6.582157649841033,6.436850422517457,2.552515150644968,3.753630651184634
29.0,11.796280038946035,140.84627957309903,6.023327839362456,13.699067415379453,11.158852991799236,15.801116988623392,3.3909253848559704,3.7226521432407127,8.159447854435331,6.459336320023292,2.699171108725314,3.737521872274394
30.0,25.383381911388362,144.04870840431244,10.114433554755124,13.705349271654939,4.878675757242419,15.534638991808974,4.269151332017342,3.828377259809289,3.7127993860000412,6.458907977408354,3.2143279461062484,3.769608847244564
31.0,783.5166490760026,144.4241856714875,46.77794068840197,13.626164646670292,6.119995072277112,15.341862641767475,5.075322610272446,3.80701910207845,13.254097710296861,6.289894010945637,3.9591376708352826,3.73048233181431
32.0,552.8996590053094,143.74192104367933,5.780397999439579,13.531000091387048,12.90078589510287,15.426650505663895,6.125277935781462,3.7770971807282177,5.328617205127861,6.254507468462261,7.110604048841553,3.7065249470271144
33.0,95.56527735620024,144.0628911720587,14.237911669614622,13.611548548906642,7.117385915508271,15.461374378311525,3.211246402363643,3.744334295428387,7.848324173914925,6.302113103453128,4.0406807936777245,3.6214650079778785
34.0,44.11354141127249,144.85534515293728,8.056125237912893,13.611608315257534,15.838173674919835,15.292724889343118,2.5035066210969124,3.70983570527362,7.089268110725783,6.259216800986491,1.5881106347907168,3.598422524521412
35.0,199.52141914137894,151.65744662965074,22.557351216469144,13.696799697640811,14.325618975881895,15.062909941271089,6.705100624654846,3.701046032252488,6.222446048632225,6.16913514548383,4.298201793209515,3.6382067560905553
36.0,271.4322554773139,152.6775078583944,24.81084123830425,13.508817697858905,17.84482002614098,14.768221452818246,4.520465904078846,3.6852796720990844,8.427173275299374,6.163315760389249,7.409129926174119,3.5896830187838837
37.0,65.55961994685356,153.88171737234165,9.805029653661435,13.64455810886587,25.44097052931241,14.514769887428077,3.0053427431339204,3.658134133341242,3.6706301508447607,6.228436602503382,3.20600792391366,3.561480828492323
38.0,80.76578395962413,151.41645141557885,20.4240979754223,13.590585810532163,8.117114405589566,14.581950028336205,5.1501020262526405,3.6627194322749688,6.385367536611305,6.242861784798927,3.542328450548548,3.558717391191892
39.0,204.58565735635025,148.02829746516727,25.121060099264504,13.447725491947956,17.04689346613482,14.264966004799312,3.32717499849593,3.6762039473981347,6.1194977888425734,6.187415823779276,4.159508723176806,3.5246555226604017
40.0,170.81881996404056,144.6485516051064,13.528912033494397,13.248531808301864,8.79717025862975,14.145480071838957,3.29888077569154,3.60939001883405,4.268708635655942,6.075205089277978,2.57018034932159,3.5312658241072024
41.0,74.1169016179038,133.67189811941296,4.485111197933061,12.998873313557416,18.126206583935577,13.99785250703657,6.30171889776671,3.5488948261594344,5.157353982241894,5.942671096771566,7.436554182667185,3.488958771366418
42.0,75.47265601011387,119.77688451887445,4.327257226197469,12.67138869088803,50.798910859065685,14.11840081599652,3.352195538872549,3.500518736418347,5.004086627980497,5.75760368410566,3.977454618650683,3.307801968383612
