time_sec,delta_raw,delta_smooth,theta_raw,theta_smooth,alpha_raw,alpha_smooth,low_beta_raw,low_beta_smooth,high_beta_raw,high_beta_smooth,gamma_raw,gamma_smooth
1.0,1529.455958164858,6229.1859544627405,83.06005431123849,248.72074345101996,7.0433948986463495,26.686590258587,1.772641462409406,4.082309714211072,2.7963924976967935,3.637691733778477,1.2207979656401702,1.8857040758403143
2.0,11879.938679764215,5555.571663420833,514.1577510134995,223.01082969005512,44.33980321351751,24.67827100695261,6.173228917026878,3.9727498354475808,3.3294517943383184,3.6726016384196063,2.835613879709914,1.9110588881219959
3.0,7845.351334558168,4931.515943802957,106.41646312307267,199.1215576387911,13.782439191950168,22.808208594538996,2.668437995851107,3.864170903490101,4.759979686793076,3.706002042198404,1.9625470212012899,1.935422343050533
4.0,741.3408607642847,4355.3009768745615,44.54622552944232,176.99135595167695,11.186106957717731,21.07166268880666,1.313198809267541,3.7567286071297468,4.080045659163818,3.737883345112429,2.2684297328601053,1.9587597021344183
5.0,1099.959634683548,3825.208943901098,47.887303490460916,156.55865328316165,14.16289863507437,19.463892957216117,6.716754968438691,3.6505786351576317,3.4234856279757966,3.768235947159239,1.9863147858982055,1.9810362268821444
6.0,6126.510243993708,3339.5220261480163,458.4901722225445,137.7618782876943,35.93701338651729,17.980159067227877,6.3659087092555176,3.5458766763648706,4.080625258642353,3.797050248336392,1.316743849051828,2.0022171788022036
7.0,2484.0190327582977,2896.522404880766,170.56803185793726,120.53945961972389,5.735892991455464,16.61572068630245,5.3011936059467635,3.4427784195425772,3.552537052583814,3.824316648641447,1.1761313602298842,2.0222678194030883
8.0,2774.9446985044083,2494.492261364797,91.00337555639057,104.82982593369951,58.275493617443175,15.365837481900337,2.6309573300815403,3.341439553481866,5.050477043275426,3.850025548071961,2.4521699839479596,2.0411534101932918
9.0,2505.035473230315,2131.7137768655593,54.036784681243226,90.57140588407017,14.599830002205394,14.225769121482058,2.074234970298161,3.24201576697385,4.748818144252279,3.8741673466254944,1.9246846182585144,2.0588392126813053
10.0,3234.2586176298532,1806.4691326485054,53.64247512279037,77.70262812528495,18.097434517969937,13.190775272508118,1.881540000199685,3.144662748809645,1.7693692177219467,3.8967324442996034,2.5548030738726553,2.0752904883756225
11.0,340.18201481146116,1517.0405099790823,39.858941859505165,66.16192131179284,12.325742041915579,12.256115602439026,4.76863253523063,3.049536187780363,4.501305276317975,3.9177112410918475,2.2659073418221904,2.0904724987847354
12.0,247.12570614542156,1261.7100901227423,34.21022572924573,55.88771409804295,5.894824658222014,11.417049778735292,3.0124831493351194,2.9567917726771196,4.481702129611728,3.937094136999785,3.2233368955362747,2.1043505054171368
13.0,247.0284791004281,1038.7600543449335,5.009499621179749,46.818435138484205,5.907718495775297,10.668837468857426,1.9946173948637285,2.866585192291029,3.0083029418295486,3.9548715320209733,2.57921222449842,2.116889769781319
14.0,108.35721654516236,846.4725839111079,9.29099567824131,38.89251308756579,5.510439463975468,10.00673834026594,1.375005513098608,2.7790721354132044,5.0360466393359085,3.9710338261529716,2.655469504827745,2.1280555533857743
15.0,195.54073425642406,683.1298600867158,15.138569240133055,32.04837659973663,4.367748537499722,9.426012060421336,2.328581400270272,2.69440829083476,4.417032852058337,3.9855714193933376,1.5277165228269003,2.137813117738996
