-58, -52, 36, 0, 0, 0, 0, 3, 7888, -944, 2752
-42, -46, 36, 0, 0, 0, 0, 3, 0, 0, 0
-29, -42, 36, 0, 0, 0, 0, 3, 0, 0, 0
-28, -46, 37, 0, 0, 0, 0, 3, 0, 0, 0
-27, -43, 36, 0, 0, 0, 0, 3, 0, 0, 0
-32, -49, 36, 0, 0, 0, 0, 3, 0, 0, 0
-37, -57, 36, 0, 0, 0, 0, 3, 0, 0, 0
-47, -60, 36, 0, 0, 0, 0, 3, 0, 0, 0
-55, -58, 36, 0, 0, 0, 0, 3, 0, 0, 0
-51, -48, 36, 0, 0, 0, 0, 3, 0, 0, 0
-41, -42, 37, 0, 0, 0, 0, 3, 7824, -944, 2768
-24, -33, 38, 0, 0, 0, 0, 3, 0, 0, 0
-20, -29, 39, 0, 0, 0, 0, 3, 0, 0, 0
-25, -29, 39, 0, 0, 0, 0, 3, 0, 0, 0
-18, -25, 40, 0, 0, 0, 0, 3, 0, 0, 0
-8, -19, 40, 0, 0, 0, 0, 3, 0, 0, 0
-4, -14, 41, 0, 0, 0, 0, 3, 0, 0, 0
-6, -14, 40, 0, 0, 0, 0, 3, 0, 0, 0
-4, -10, 40, 0, 0, 0, 0, 3, 0, 0, 0
-5, -11, 40, 0, 0, 0, 0, 3, 0, 0, 0
-4, -12, 39, 0, 0, 0, 0, 3, 0, 0, 0
-4, -17, 38, 0, 0, 0, 0, 3, 7776, -896, 2704
-8, -27, 37, 0, 0, 0, 0, 3, 0, 0, 0
-12, -32, 37, 0, 0, 0, 0, 3, 0, 0, 0
-7, -22, 35, 0, 0, 0, 0, 3, 0, 0, 0
0, -10, 34, 0, 0, 0, 0, 3, 0, 0, 0
2, -5, 33, 0, 0, 0, 0, 3, 0, 0, 0
-4, -6, 33, 0, 0, 0, 0, 3, 0, 0, 0
-12, -9, 32, 0, 0, 0, 0, 3, 0, 0, 0
-11, -10, 31, 0, 0, 0, 0, 3, 0, 0, 0
-4, -16, 31, 0, 0, 0, 0, 3, 0, 0, 0
6, -17, 30, 0, 0, 0, 0, 3, 7728, -800, 2720
13, -9, 29, 0, 0, 0, 0, 3, 0, 0, 0
9, -6, 29, 0, 0, 0, 0, 3, 0, 0, 0
10, -2, 28, 0, 0, 0, 0, 3, 0, 0, 0
13, -2, 26, 0, 0, 0, 0, 3, 0, 0, 0
10, -8, 25, 0, 0, 0, 0, 3, 0, 0, 0
3, -15, 25, 0, 0, 0, 0, 3, 0, 0, 0
-9, -18, 24, 0, 0, 0, 0, 3, 0, 0, 0
-17, -20, 23, 0, 0, 0, 0, 3, 0, 0, 0
-12, -18, 22, 0, 0, 0, 0, 3, 0, 0, 0
-3, -15, 20, 0, 0, 0, 0, 3, 7760, -688, 0
5, -10, 19, 0, 0, 0, 0, 3, 0, 0, 2688
4, -15, 17, 0, 0, 0, 0, 3, 0, 0, 0
-1, -23, 16, 0, 0, 0, 0, 3, 0, 0, 0
-12, -27, 15, 0, 0, 0, 0, 3, 0, 0, 0
-23, -31, 14, 0, 0, 0, 0, 3, 0, 0, 0
-30, -35, 13, 0, 0, 0, 0, 3, 0, 0, 0
-31, -42, 14, 0, 0, 0, 0, 3, 0, 0, 0
-31, -48, 14, 0, 0, 0, 0, 3, 0, 0, 0
-30, -47, 14, 0, 0, 0, 0, 3, 0, 0, 0
-31, -45, 14, 0, 0, 0, 0, 3, 7824, -544, 2672
-32, -44, 14, 0, 0, 0, 0, 3, 0, 0, 0
-30, -39, 14, 0, 0, 0, 0, 3, 0, 0, 0
-32, -42, 14, 0, 0, 0, 0, 3, 0, 0, 0
-39, -56, 15, 0, 0, 0, 0, 3, 0, 0, 0
-44, -58, 15, 0, 0, 0, 0, 3, 0, 0, 0
-45, -55, 15, 0, 0, 0, 0, 3, 0, 0, 0
-38, -48, 16, 0, 0, 0, 0, 3, 0, 0, 0
-30, -44, 16, 0, 0, 0, 0, 3, 0, 0, 0
-29, -41, 16, 0, 0, 0, 0, 3, 0, 0, 0
-32, -41, 16, 0, 0, 0, 0, 3, 0, 0, 0
-33, -42, 16, 0, 0, 0, 0, 3, 7776, -448, 0
-34, -41, 16, 0, 0, 0, 0, 3, 0, 0, 2640
-42, -45, 17, 0, 0, 0, 0, 3, 0, 0, 0
-45, -47, 17, 0, 0, 0, 0, 3, 0, 0, 0
-48, -46, 17, 0, 0, 0, 0, 3, 0, 0, 0
-45, -46, 17, 0, 0, 0, 0, 3, 0, 0, 0
-29, -42, 17, 0, 0, 0, 0, 3, 0, 0, 0
-19, -36, 16, 0, 0, 0, 0, 3, 0, 0, 0
-16, -33, 16, 0, 0, 0, 0, 3, 0, 0, 0
-24, -35, 16, 0, 0, 0, 0, 3, 0, 0, 0
-31, -39, 15, 0, 0, 0, 0, 3, 7728, -368, 2608
-27, -38, 14, 0, 0, 0, 0, 3, 0, 0, 0
-18, -33, 14, 0, 0, 0, 0, 3, 0, 0, 0
-17, -29, 14, 0, 0, 0, 0, 3, 0, 0, 0
-20, -30, 13, 0, 0, 0, 0, 3, 0, 0, 0
-16, -29, 13, 0, 0, 0, 0, 3, 0, 0, 0
-10, -24, 13, 0, 0, 0, 0, 3, 0, 0, 0
-6, -20, 12, 0, 0, 0, 0, 3, 0, 0, 0
-5, -15, 12, 0, 0, 0, 0, 3, 0, 0, 0
-13, -16, 11, 0, 0, 0, 0, 3, 0, 0, 0
-23, -22, 11, 0, 0, 0, 0, 3, 7760, -304, 0
-25, -24, 10, 0, 0, 0, 0, 3, 0, 0, 2640
-19, -29, 9, 0, 0, 0, 0, 3, 0, 0, 0
-14, -33, 8, 0, 0, 0, 0, 3, 0, 0, 0
-18, -36, 7, 0, 0, 0, 0, 3, 0, 0, 0
-26, -37, 6, 0, 0, 0, 0, 3, 0, 0, 0
-36, -42, 4, 0, 0, 0, 0, 3, 0, 0, 0
-37, -42, 4, 0, 0, 0, 0, 3, 0, 0, 0
-32, -38, 3, 0, 0, 0, 0, 3, 0, 0, 0
-35, -44, 2, 0, 0, 0, 0, 3, 0, 0, 0
-37, -42, 2, 0, 0, 0, 0, 3, 0, 0, 0
-37, -35, 1, 0, 0, 0, 0, 3, 7744, -208, 2560
-39, -36, 1, 0, 0, 0, 0, 3, 0, 0, 0
-39, -41, 0, 0, 0, 0, 0, 3, 0, 0, 0
-37, -43, 0, 0, 0, 0, 0, 3, 0, 0, 0
-40, -42, 0, 0, 0, 0, 0, 3, 0, 0, 0
-37, -40, 0, 0, 0, 0, 0, 3, 0, 0, 0
-34, -38, -1, 0, 0, 0, 0, 3, 0, 0, 0
-34, -41, -1, 0, 0, 0, 0, 3, 0, 0, 0
-31, -42, -1, 0, 0, 0, 0, 3, 0, 0, 0
-34, -42, -2, 0, 0, 0, 0, 3, 0, 0, 0
-33, -40, -2, 0, 0, 0, 0, 3, 7760, -160, 2512
-27, -40, -2, 0, 0, 0, 0, 3, 0, 0, 0
-29, -46, -2, 0, 0, 0, 0, 3, 0, 0, 0
-36, -49, -3, 0, 0, 0, 0, 3, 0, 0, 0
-32, -43, -2, 0, 0, 0, 0, 3, 0, 0, 0
-32, -39, -2, 0, 0, 0, 0, 3, 0, 0, 0
-30, -37, -2, 0, 0, 0, 0, 3, 0, 0, 0
-28, -38, -3, 0, 0, 0, 0, 3, 0, 0, 0
-31, -42, -3, 0, 0, 0, 0, 3, 0, 0, 0
-30, -40, -4, 0, 0, 0, 0, 3, 0, 0, 0
-31, -39, -4, 0, 0, 0, 0, 3, 7744, -208, 2464
-31, -36, -5, 0, 0, 0, 0, 3, 0, 0, 0
-31, -35, -5, 0, 0, 0, 0, 3, 0, 0, 0
-27, -39, -5, 0, 0, 0, 0, 3, 0, 0, 0
-34, -42, -4, 0, 0, 0, 0, 3, 0, 0, 0
-39, -39, -4, 0, 0, 0, 0, 3, 0, 0, 0
-33, -33, -3, 0, 0, 0, 0, 3, 0, 0, 0
-26, -32, -2, 0, 0, 0, 0, 3, 0, 0, 0
-27, -37, 0, 0, 0, 0, 0, 3, 0, 0, 0
-31, -41, 0, 0, 0, 0, 0, 3, 0, 0, 0
-33, -41, 1, 0, 0, 0, 0, 3, 7744, -208, 2464
-36, -45, 3, 0, 0, 0, 0, 3, 0, 0, 0
-39, -48, 3, 0, 0, 0, 0, 3, 0, 0, 0
-48, -50, 4, 0, 0, 0, 0, 3, 0, 0, 0
-52, -49, 5, 0, 0, 0, 0, 3, 0, 0, 0
-50, -46, 6, 0, 0, 0, 0, 3, 0, 0, 0
-50, -43, 7, 0, 0, 0, 0, 3, 0, 0, 0
-46, -41, 8, 0, 0, 0, 0, 3, 0, 0, 0
-32, -40, 8, 0, 0, 0, 0, 3, 0, 0, 0
-21, -38, 8, 0, 0, 0, 0, 3, 0, 0, 0
-21, -38, 9, 0, 0, 0, 0, 3, 0, 0, 0
-24, -37, 9, 0, 0, 0, 0, 3, 7744, -192, 2400
-29, -32, 10, 0, 0, 0, 0, 3, 0, 0, 0
-42, -35, 11, 0, 0, 0, 0, 3, 0, 0, 0
-52, -46, 12, 0, 0, 0, 0, 3, 0, 0, 0
-50, -52, 12, 0, 0, 0, 0, 3, 0, 0, 0
-43, -52, 12, 0, 0, 0, 0, 3, 0, 0, 0
